# Raman tensor in 10^(-30) Cm^2/V
# mode: 8   phonon freq: 3111.638698
# omega(eV)    xx        yy        zz        xy        yz        xz      perp      back
0.31377+0.00000j 4.967e+00+0.000e+00j 0.000e+00+0.000e+00j 9.787e+00-6.506e-02j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 1.199e+01+0.000e+00j 3.029e+01+0.000e+00j
0.32328+0.00000j 4.974e+00-6.609e-03j 0.000e+00+0.000e+00j 8.640e+00-2.644e-02j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 1.062e+01+0.000e+00j 2.772e+01+0.000e+00j
0.33279+0.00000j 4.980e+00-8.429e-05j 0.000e+00+0.000e+00j 7.486e+00-3.371e-04j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 9.334e+00+0.000e+00j 2.518e+01+0.000e+00j
0.34229+0.00000j 4.980e+00+0.000e+00j 0.000e+00+0.000e+00j 8.701e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 1.069e+01+0.000e+00j 2.786e+01+0.000e+00j
0.35180+0.00000j 4.980e+00+0.000e+00j 0.000e+00+0.000e+00j 9.947e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 1.218e+01+0.000e+00j 3.067e+01+0.000e+00j
0.36131+0.00000j 4.980e+00+0.000e+00j 0.000e+00+0.000e+00j 8.729e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 1.073e+01+0.000e+00j 2.793e+01+0.000e+00j
0.37082+0.00000j 4.980e+00+0.000e+00j 0.000e+00+0.000e+00j 7.483e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 9.330e+00+0.000e+00j 2.518e+01+0.000e+00j
0.38033+0.00000j 4.974e+00-6.463e-03j 0.000e+00+0.000e+00j 7.367e+00-3.878e-02j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 9.206e+00+0.000e+00j 2.491e+01+0.000e+00j
0.38983+0.00000j 4.967e+00-1.299e-02j 0.000e+00+0.000e+00j 7.263e+00-7.792e-02j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 9.094e+00+0.000e+00j 2.468e+01+0.000e+00j
0.39934+0.00000j 4.967e+00+0.000e+00j 0.000e+00+0.000e+00j 8.471e+00-6.553e-02j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 1.043e+01+0.000e+00j 2.733e+01+0.000e+00j
